year,team_id,location,name,conference,division,w,l,t,pf,pa,place,leagabrv
1920,NFLTeam57,Akron,Pros,None,None,8,0,3,151,7,1,NFL
1920,NFLTeam9,Decatur,Staleys,None,None,10,1,2,164,21,2,NFL
1920,NFLTeam47,Buffalo,All-Americans,None,None,9,1,1,258,32,3,NFL
1920,NFLTeam5,Chicago(Racine),Cardinals,None,None,6,2,1,101,29,4,NFL
1920,NFLTeam63,Rock Island,Independents,None,None,6,2,2,201,49,5,NFL
1920,NFLTeam45,Dayton,Triangles,None,None,5,2,2,150,54,6,NFL
1920,NFLTeam64,Rochester,Jeffersons,None,None,6,3,2,156,57,7,NFL
1920,NFLTeam60,Canton,Bulldogs,None,None,7,4,2,208,57,8,NFL
1920,NFLTeam73,Detroit,Heralds,None,None,2,3,3,53,82,9,NFL
1920,NFLTeam70,Cleveland,Tigers,None,None,2,4,2,28,46,10,NFL
1920,NFLTeam77,Chicago,Tigers,None,None,2,5,1,49,63,11,NFL
1920,NFLTeam61,Hammond,Pros,None,None,2,5,0,41,154,12,NFL
1920,NFLTeam59,Columbus,Panhandles,None,None,2,6,2,41,121,13,NFL
1920,NFLTeam74,Muncie,Flyers,None,None,0,1,0,0,45,14,NFL
1921,NFLTeam9,Chicago,Staleys,None,None,9,1,1,128,53,1,NFL
1921,NFLTeam47,Buffalo,All-Americans,None,None,9,1,2,211,29,2,NFL
1921,NFLTeam57,Akron,Pros,None,None,8,3,1,148,31,3,NFL
1921,NFLTeam60,Canton,Bulldogs,None,None,5,2,3,106,55,4,NFL
1921,NFLTeam63,Rock Island,Independents,None,None,4,2,1,65,30,5,NFL
1921,NFLTeam69,Evansville,Crimson Giants,None,None,3,2,0,89,46,6,NFL
1921,NFLTeam11,Green Bay,Packers,None,None,3,2,1,70,55,7,NFL
1921,NFLTeam45,Dayton,Triangles,None,None,4,4,1,96,67,8,NFL
1921,NFLTeam5,Chicago,Cardinals,None,None,3,3,2,54,53,9,NFL
1921,NFLTeam64,Rochester,Jeffersons,None,None,2,3,0,85,76,10,NFL
1921,NFLTeam70,Cleveland,Indians,None,None,3,5,0,95,58,11,NFL
1921,NFLTeam71,Washington,Senators,None,None,1,2,0,21,43,12,NFL
1921,NFLTeam72,Cincinnati,Celts,None,None,1,3,0,14,117,13,NFL
1921,NFLTeam61,Hammond,Pros,None,None,1,3,1,17,45,14,NFL
1921,NFLTeam44,Minneapolis,Marines,None,None,1,3,0,37,41,15,NFL
1921,NFLTeam73,Detroit,Tigers,None,None,1,5,1,19,109,16,NFL
1921,NFLTeam59,Columbus,Panhandles,None,None,1,8,0,47,222,17,NFL
1921,NFLTeam76,Tonawanda,Kardex,None,None,0,1,0,0,45,18,NFL
1921,NFLTeam74,Muncie,Flyers,None,None,0,2,0,0,28,19,NFL
1921,NFLTeam62,Louisville,Breckenridges,None,None,0,2,0,0,27,20,NFL
1921,NFLTeam75,New York,Giants - 1921,None,None,0,2,0,0,72,21,NFL
1922,NFLTeam60,Canton,Bulldogs,None,None,10,0,2,184,15,1,NFL
1922,NFLTeam9,Chicago,Bears,None,None,9,3,0,123,44,2,NFL
1922,NFLTeam5,Chicago,Cardinals,None,None,8,3,0,96,50,3,NFL
1922,NFLTeam66,Toledo,Maroons,None,None,5,2,2,94,59,4,NFL
1922,NFLTeam63,Rock Island,Independents,None,None,4,2,1,154,27,5,NFL
1922,NFLTeam58,Racine,Legion,None,None,6,4,1,122,56,6,NFL
1922,NFLTeam45,Dayton,Triangles,None,None,4,3,1,80,62,7,NFL
1922,NFLTeam11,Green Bay,Packers,None,None,4,3,3,70,54,8,NFL
1922,NFLTeam47,Buffalo,All-Americans,None,None,5,4,1,87,41,9,NFL
1922,NFLTeam57,Akron,Pros,None,None,3,5,2,146,95,10,NFL
1922,NFLTeam56,Milwaukee,Badgers,None,None,2,4,3,51,71,11,NFL
1922,NFLTeam68,Oorang,Indians,None,None,3,6,0,69,190,12,NFL
1922,NFLTeam44,Minneapolis,Marines,None,None,1,3,0,19,40,13,NFL
1922,NFLTeam62,Louisville,Breckenridges,None,None,1,3,0,13,140,14,NFL
1922,NFLTeam69,Evansville,Crimson Giants,None,None,0,3,0,6,88,15,NFL
1922,NFLTeam64,Rochester,Jeffersons,None,None,0,4,1,13,76,16,NFL
1922,NFLTeam61,Hammond,Pros,None,None,0,5,1,0,69,17,NFL
1922,NFLTeam59,Columbus,Panhandles,None,None,0,8,0,24,174,18,NFL
1923,NFLTeam60,Canton,Bulldogs,None,None,11,0,1,246,19,1,NFL
1923,NFLTeam9,Chicago,Bears,None,None,9,2,1,123,35,2,NFL
1923,NFLTeam11,Green Bay,Packers,None,None,7,2,1,85,34,3,NFL
1923,NFLTeam56,Milwaukee,Badgers,None,None,7,2,3,100,49,4,NFL
1923,NFLTeam48,Cleveland,Indians,None,None,3,1,3,52,49,4,NFL
1923,NFLTeam5,Chicago,Cardinals,None,None,8,4,0,161,56,6,NFL
1923,NFLTeam50,Duluth,Kelleys,None,None,4,3,0,35,33,7,NFL
1923,NFLTeam47,Buffalo,All-Americans,None,None,5,4,3,94,43,8,NFL
1923,NFLTeam59,Columbus,Tigers,None,None,5,4,1,119,35,9,NFL
1923,NFLTeam58,Racine,Legion,None,None,4,4,2,86,76,10,NFL
1923,NFLTeam66,Toledo,Maroons,None,None,3,3,2,35,66,11,NFL
1923,NFLTeam63,Rock Island,Independents,None,None,2,3,3,84,62,12,NFL
1923,NFLTeam44,Minneapolis,Marines,None,None,2,5,2,48,81,13,NFL
1923,NFLTeam67,St. Louis,All-Stars,None,None,1,4,2,14,39,14,NFL
1923,NFLTeam61,Hammond,Pros,None,None,1,5,1,14,59,15,NFL
1923,NFLTeam45,Dayton,Triangles,None,None,1,6,1,16,95,16,NFL
1923,NFLTeam57,Akron,Pros,None,None,1,6,0,25,74,17,NFL
1923,NFLTeam68,Oorang,Indians,None,None,1,10,0,50,257,18,NFL
1923,NFLTeam62,Louisville,Breckenridges,None,None,0,3,0,0,90,19,NFL
1923,NFLTeam64,Rochester,Jeffersons,None,None,0,4,0,6,141,20,NFL
1924,NFLTeam48,Cleveland,Bulldogs,None,None,7,1,1,229,60,1,NFL
1924,NFLTeam9,Chicago,Bears,None,None,6,1,4,136,55,2,NFL
1924,NFLTeam40,Frankford,Yellow Jackets,None,None,11,2,1,326,109,3,NFL
1924,NFLTeam50,Duluth,Kelleys,None,None,5,1,0,56,16,4,NFL
1924,NFLTeam63,Rock Island,Independents,None,None,5,2,2,88,38,5,NFL
1924,NFLTeam11,Green Bay,Packers,None,None,7,4,0,108,38,6,NFL
1924,NFLTeam58,Racine,Legion,None,None,4,3,3,69,47,7,NFL
1924,NFLTeam5,Chicago,Cardinals,None,None,5,4,1,90,67,8,NFL
1924,NFLTeam47,Buffalo,Bison,None,None,6,5,0,120,140,9,NFL
1924,NFLTeam59,Columbus,Tigers,None,None,4,4,0,91,68,10,NFL
1924,NFLTeam61,Hammond,Pros,None,None,2,2,1,18,45,11,NFL
1924,NFLTeam56,Milwaukee,Badgers,None,None,5,8,0,142,188,12,NFL
1924,NFLTeam57,Akron,Pros,None,None,2,6,0,59,132,13,NFL
1924,NFLTeam45,Dayton,Triangles,None,None,2,6,0,45,148,14,NFL
1924,NFLTeam51,Kansas City,Blues,None,None,2,7,0,46,124,15,NFL
1924,NFLTeam65,Kenosha,Maroons,None,None,0,4,1,12,117,16,NFL
1924,NFLTeam44,Minneapolis,Marines,None,None,0,6,0,14,108,17,NFL
1924,NFLTeam64,Rochester,Jeffersons,None,None,0,7,0,7,156,18,NFL
1925,NFLTeam5,Chicago,Cardinals,None,None,11,2,1,230,65,1,NFL
1925,NFLTeam46,Pottsville,Maroons,None,None,10,2,0,270,45,2,NFL
1925,NFLTeam53,Detroit,Panthers,None,None,8,2,2,129,39,3,NFL
1925,NFLTeam3,New York,Giants,None,None,8,4,0,122,67,4,NFL
1925,NFLTeam57,Akron,Indians,None,None,4,2,2,65,51,5,NFL
1925,NFLTeam40,Frankford,Yellow Jackets,None,None,13,7,0,190,169,6,NFL
1925,NFLTeam9,Chicago,Bears,None,None,9,5,3,158,96,7,NFL
1925,NFLTeam63,Rock Island,Independents,None,None,5,3,3,99,58,8,NFL
1925,NFLTeam11,Green Bay,Packers,None,None,8,5,0,151,110,9,NFL
1925,NFLTeam42,Providence,Steam Roller,None,None,6,5,1,111,101,10,NFL
1925,NFLTeam60,Canton,Bulldogs,None,None,4,4,0,50,73,11,NFL
1925,NFLTeam48,Cleveland,Bulldogs,None,None,5,8,1,75,135,12,NFL
1925,NFLTeam51,Kansas City,Cowboys,None,None,2,5,1,65,97,13,NFL
1925,NFLTeam61,Hammond,Pros,None,None,1,4,0,23,87,14,NFL
1925,NFLTeam47,Buffalo,Bison,None,None,1,6,2,33,113,15,NFL
1925,NFLTeam50,Duluth,Kelleys,None,None,0,3,0,6,25,16,NFL
1925,NFLTeam64,Rochester,Jeffersons,None,None,0,6,1,26,111,17,NFL
1925,NFLTeam56,Milwaukee,Badgers,None,None,0,6,0,7,191,18,NFL
1925,NFLTeam45,Dayton,Triangles,None,None,0,7,1,3,84,19,NFL
1925,NFLTeam59,Columbus,Tigers,None,None,0,9,0,28,124,20,NFL
1926,NFLTeam40,Frankford,Yellow Jackets,None,None,14,1,2,236,49,1,NFL
1926,NFLTeam9,Chicago,Bears,None,None,12,1,3,216,63,2,NFL
1926,NFLTeam46,Pottsville,Maroons,None,None,10,2,2,155,29,3,NFL
1926,NFLTeam51,Kansas City,Cowboys,None,None,8,3,0,76,53,4,NFL
1926,NFLTeam11,Green Bay,Packers,None,None,7,3,3,151,61,5,NFL
1926,NFLTeam52,Los Angeles,Buccaneers,None,None,6,3,1,67,57,6,NFL
1926,NFLTeam3,New York,Giants,None,None,8,4,1,147,51,7,NFL
1926,NFLTeam50,Duluth,Eskimos,None,None,6,5,3,113,81,8,NFL
1926,NFLTeam47,Buffalo,Rangers,None,None,4,4,2,53,62,9,NFL
