year,week,hometeam,awayteam,homescore,awayscore
2010,1,NOR,MIN,14,9
2010,1,KAN,SDG,21,14
2010,1,WAS,DAL,13,7
2010,1,TAM,CLE,17,14
2010,1,SEA,SFO,31,6
2010,1,STL,ARI,13,17
2010,1,PIT,ATL,15,9
2010,1,PHI,GNB,20,27
2010,1,NYJ,BAL,9,10
2010,1,NYG,CAR,31,18
2010,1,NWE,CIN,38,24
2010,1,JAX,DEN,24,17
2010,1,HOU,IND,34,24
2010,1,CHI,DET,19,14
2010,1,BUF,MIA,10,15
2010,1,TEN,OAK,38,13
2010,2,WAS,HOU,27,30
2010,2,SDG,JAX,38,13
2010,2,OAK,STL,16,14
2010,2,TEN,PIT,11,19
2010,2,NYJ,NWE,28,14
2010,2,MIN,MIA,10,14
2010,2,DAL,CHI,20,27
2010,2,DET,PHI,32,35
2010,2,DEN,SEA,31,14
2010,2,IND,NYG,38,14
2010,2,CLE,KAN,14,16
2010,2,CIN,BAL,15,10
2010,2,SFO,NOR,22,25
2010,2,GNB,BUF,34,7
2010,2,CAR,TAM,7,20
2010,2,ATL,ARI,41,7
2010,3,NYG,TEN,10,29
2010,3,CHI,GNB,20,17
2010,3,TAM,PIT,13,38
2010,3,SEA,SDG,27,20
2010,3,BAL,CLE,24,17
2010,3,STL,WAS,30,16
2010,3,NWE,BUF,38,30
2010,3,MIN,DET,24,10
2010,3,NOR,ATL,24,27
2010,3,KAN,SFO,31,10
2010,3,JAX,PHI,3,28
2010,3,HOU,DAL,13,27
2010,3,DEN,IND,13,27
2010,3,ARI,OAK,24,23
2010,3,CAR,CIN,7,20
2010,3,MIA,NYJ,23,31
2010,4,OAK,HOU,24,31
2010,4,PIT,BAL,14,17
2010,4,STL,SEA,20,3
2010,4,JAX,IND,31,28
2010,4,MIA,NWE,14,41
2010,4,PHI,WAS,12,17
2010,4,SDG,ARI,41,10
2010,4,TEN,DEN,20,26
2010,4,ATL,SFO,16,14
2010,4,NOR,CAR,16,14
2010,4,GNB,DET,28,26
2010,4,CLE,CIN,23,20
2010,4,BUF,NYJ,14,38
2010,4,NYG,CHI,17,3
2010,5,HOU,NYG,10,34
2010,5,WAS,GNB,16,13
2010,5,OAK,SDG,35,27
2010,5,BAL,DEN,31,17
2010,5,SFO,PHI,24,27
2010,5,NYJ,MIN,29,20
2010,5,CIN,TAM,21,24
2010,5,IND,KAN,19,9
2010,5,CLE,ATL,10,20
2010,5,CAR,CHI,6,23
2010,5,BUF,JAX,26,36
2010,5,DET,STL,44,6
2010,5,ARI,NOR,30,20
2010,5,DAL,TEN,27,34
2010,6,MIN,DAL,24,21
2010,6,DEN,NYJ,20,24
2010,6,CHI,SEA,20,23
2010,6,JAX,TEN,3,30
2010,6,WAS,IND,24,27
2010,6,TAM,NOR,6,31
2010,6,SFO,OAK,17,9
2010,6,PIT,CLE,28,10
2010,6,STL,SDG,20,17
2010,6,NYG,DET,28,20
2010,6,NWE,BAL,23,20
2010,6,HOU,KAN,35,31
2010,6,GNB,MIA,20,23
2010,6,PHI,ATL,31,17
2010,7,NOR,CLE,17,30
2010,7,TAM,STL,18,17
2010,7,DAL,NYG,35,41
2010,7,SDG,NWE,20,23
2010,7,BAL,BUF,37,34
2010,7,TEN,PHI,37,19
2010,7,MIA,PIT,22,23
2010,7,SEA,ARI,22,10
2010,7,GNB,MIN,28,24
2010,7,DEN,OAK,14,59
2010,7,CHI,WAS,14,17
2010,7,CAR,SFO,23,20
2010,7,ATL,CIN,39,32
2010,7,KAN,JAX,42,20
2010,8,IND,HOU,30,17
2010,8,SFO,DEN,24,16
2010,8,NWE,MIN,28,18
2010,8,NOR,PIT,20,10
2010,8,KAN,BUF,13,10
2010,8,SDG,TEN,33,25
2010,8,DAL,JAX,17,35
2010,8,DET,WAS,37,25
2010,8,STL,CAR,20,10
2010,8,NYJ,GNB,0,9
2010,8,CIN,MIA,14,22
2010,8,ARI,TAM,35,38
2010,8,OAK,SEA,33,3
2010,9,ATL,TAM,27,21
2010,9,BUF,CHI,19,22
2010,9,CAR,NOR,3,34
2010,9,DET,NYJ,20,23
2010,9,GNB,DAL,45,7
2010,9,HOU,SDG,23,29
2010,9,MIN,ARI,27,24
2010,9,PHI,IND,26,24
2010,9,OAK,KAN,23,20
2010,9,BAL,MIA,26,10
2010,9,CLE,NWE,34,14
2010,9,CIN,PIT,21,27
2010,9,SEA,NYG,7,41
2010,10,WAS,PHI,28,59
2010,10,TAM,CAR,31,16
2010,10,SFO,STL,23,20
2010,10,PIT,NWE,26,39
2010,10,MIA,TEN,29,17
2010,10,JAX,HOU,31,24
2010,10,NYG,DAL,20,33
2010,10,ARI,SEA,18,36
2010,10,IND,CIN,23,17
2010,10,CLE,NYJ,20,26
2010,10,CHI,MIN,27,13
2010,10,BUF,DET,14,12
2010,10,ATL,BAL,26,21
2010,10,DEN,KAN,49,29
2010,11,PHI,NYG,27,17
2010,11,CAR,BAL,13,37
2010,11,SDG,DEN,35,14
2010,11,SFO,TAM,0,21
2010,11,STL,ATL,17,34
2010,11,PIT,OAK,35,3
2010,11,TEN,WAS,16,19
2010,11,MIA,CHI,0,16
2010,11,NWE,IND,31,28
2010,11,NOR,SEA,34,19
2010,11,MIN,GNB,3,31
2010,11,KAN,ARI,31,13
2010,11,JAX,CLE,24,20
2010,11,DAL,DET,35,19
2010,11,CIN,BUF,31,49
2010,11,NYJ,HOU,30,27
2010,12,ARI,SFO,6,27
2010,12,WAS,MIN,13,17
2010,12,BAL,TAM,17,10
2010,12,OAK,MIA,17,33
2010,12,NYG,JAX,24,20
2010,12,HOU,TEN,20,0
2010,12,SEA,KAN,24,42
2010,12,IND,SDG,14,36
2010,12,DAL,NOR,27,30
2010,12,DEN,STL,33,36
2010,12,NYJ,CIN,26,10
2010,12,DET,NWE,24,45
2010,12,BUF,PIT,16,19
2010,12,CLE,CAR,24,23
2010,12,CHI,PHI,31,26
2010,12,ATL,GNB,20,17
2010,13,SEA,CAR,31,14
2010,13,SDG,OAK,13,28
2010,13,BAL,PIT,10,13
2010,13,TEN,JAX,6,17
2010,13,NYG,WAS,31,7
2010,13,MIN,BUF,38,14
2010,13,MIA,CLE,10,13
2010,13,GNB,SFO,34,16
2010,13,ARI,STL,6,19
2010,13,IND,DAL,35,38
2010,13,CIN,NOR,30,34
2010,13,PHI,HOU,34,24
2010,13,TAM,ATL,24,28
2010,13,KAN,DEN,10,6
2010,13,DET,CHI,20,24
2010,13,NWE,NYJ,45,3
2010,14,BUF,CLE,13,6
2010,14,TEN,IND,28,30
2010,14,MIN,NYG,3,21
2010,14,HOU,BAL,28,34
2010,14,WAS,TAM,16,17
2010,14,SFO,SEA,40,21
2010,14,SDG,KAN,31,0
2010,14,PIT,CIN,23,7
2010,14,JAX,OAK,38,31
2010,14,NOR,STL,31,13
2010,14,DET,GNB,7,3
2010,14,DAL,PHI,27,30
2010,14,ARI,DEN,43,13
2010,14,CHI,NWE,7,36
2010,14,NYJ,MIA,6,10
2010,14,CAR,ATL,10,31
2010,15,MIN,CHI,14,40
2010,15,SEA,ATL,18,34
2010,15,BAL,NOR,30,24
2010,15,STL,KAN,13,27
2010,15,OAK,DEN,39,23
2010,15,TEN,HOU,31,17
2010,15,TAM,DET,20,23
2010,15,NWE,GNB,31,27
2010,15,NYG,PHI,31,38
2010,15,SDG,SFO,34,7
2010,15,CAR,ARI,19,12
2010,15,PIT,NYJ,17,22
2010,15,IND,JAX,34,24
2010,15,DAL,WAS,33,30
2010,15,MIA,BUF,14,17
2010,15,CIN,CLE,19,17
2010,16,PHI,MIN,14,24
2010,16,ATL,NOR,14,17
2010,16,TAM,SEA,38,15
2010,16,STL,SFO,25,17
2010,16,OAK,IND,26,31
2010,16,MIA,DET,27,34
2010,16,KAN,TEN,34,14
2010,16,GNB,NYG,45,17
2010,16,DEN,HOU,24,23
2010,16,CIN,SDG,34,20
2010,16,CHI,NYJ,38,34
2010,16,BUF,NWE,3,34
2010,16,ARI,DAL,27,26
2010,16,PIT,CAR,27,3
2010,16,JAX,WAS,17,20
2010,16,CLE,BAL,10,20
2010,17,DEN,SDG,28,33
2010,17,ATL,CAR,31,10
2010,17,WAS,NYG,14,17
2010,17,SFO,ARI,38,7
2010,17,SEA,STL,16,6
2010,17,BAL,CIN,13,7
2010,17,PHI,DAL,13,14
