leag_year,team_id,team_location,team_name,leagabrv,champ_name
1920,NFLTeam57,Akron,Pros,NFL,NFL
1921,NFLTeam9,Chicago,Staleys,NFL,NFL
1922,NFLTeam60,Canton,Bulldogs,NFL,NFL
1923,NFLTeam60,Canton,Bulldogs,NFL,NFL
1924,NFLTeam48,Cleveland,Bulldogs,NFL,NFL
1925,NFLTeam5,Chicago,Cardinals,NFL,NFL
1926,NFLTeam40,Frankford,Yellow Jackets,NFL,NFL
1927,NFLTeam3,New York,Giants,NFL,NFL
1928,NFLTeam42,Providence,Steam Roller,NFL,NFL
1929,NFLTeam11,Green Bay,Packers,NFL,NFL
1930,NFLTeam11,Green Bay,Packers,NFL,NFL
1931,NFLTeam11,Green Bay,Packers,NFL,NFL
1932,NFLTeam9,Chicago,Bears,NFL,NFL
1933,NFLTeam9,Chicago,Bears,NFL,NFL
1934,NFLTeam3,New York,Giants,NFL,NFL
1935,NFLTeam10,Detroit,Lions,NFL,NFL
1936,NFLTeam11,Green Bay,Packers,NFL,NFL
1937,NFLTeam4,Washington,Redskins,NFL,NFL
1938,NFLTeam3,New York,Giants,NFL,NFL
1939,NFLTeam11,Green Bay,Packers,NFL,NFL
1940,NFLTeam9,Chicago,Bears,NFL,NFL
1941,NFLTeam9,Chicago,Bears,NFL,NFL
1942,NFLTeam4,Washington,Redskins,NFL,NFL
1943,NFLTeam9,Chicago,Bears,NFL,NFL
1944,NFLTeam11,Green Bay,Packers,NFL,NFL
1945,NFLTeam8,Cleveland,Rams,NFL,NFL
1946,NFLTeam9,Chicago,Bears,NFL,NFL
1947,NFLTeam5,Chicago,Cardinals,NFL,NFL
1948,NFLTeam1,Philadelphia,Eagles,NFL,NFL
1949,NFLTeam1,Philadelphia,Eagles,NFL,NFL
1950,NFLTeam27,Cleveland,Browns,NFL,NFL
1951,NFLTeam8,Los Angeles,Rams,NFL,NFL
1952,NFLTeam10,Detroit,Lions,NFL,NFL
1953,NFLTeam10,Detroit,Lions,NFL,NFL
1954,NFLTeam27,Cleveland,Browns,NFL,NFL
1955,NFLTeam27,Cleveland,Browns,NFL,NFL
1956,NFLTeam3,New York,Giants,NFL,NFL
1957,NFLTeam10,Detroit,Lions,NFL,NFL
1958,NFLTeam30,Baltimore,Colts,NFL,NFL
1959,NFLTeam30,Baltimore,Colts,NFL,NFL
1960,NFLTeam1,Philadelphia,Eagles,NFL,NFL
1960,NFLTeam32,Houston,Oilers,AFL,AFL
1961,NFLTeam11,Green Bay,Packers,NFL,NFL
1961,NFLTeam32,Houston,Oilers,AFL,AFL
1962,NFLTeam11,Green Bay,Packers,NFL,NFL
1962,NFLTeam22,Dallas,Texans,AFL,AFL
1963,NFLTeam9,Chicago,Bears,NFL,NFL
1963,NFLTeam24,San Diego,Chargers,AFL,AFL
1964,NFLTeam27,Cleveland,Browns,NFL,NFL
1964,NFLTeam17,Buffalo,Bills,AFL,AFL
1965,NFLTeam11,Green Bay,Packers,NFL,NFL
1965,NFLTeam17,Buffalo,Bills,AFL,AFL
1966,NFLTeam11,Green Bay,Packers,NFL,NFL
1966,NFLTeam22,Kansas City,Chiefs,AFL,AFL
1966,NFLTeam11,Green Bay,Packers,NFL,Super Bowl I
1967,NFLTeam11,Green Bay,Packers,NFL,NFL
