loc_id,team_location,lat,lon
1,Akron,,
2,Arizona,,
3,Atlanta,,
4,Baltimore,,
5,Birmingham,,
6,Boston,,
7,Brooklyn,,
8,Buffalo,,
9,Canton,,
10,Card-Pitt,,
11,Carolina,,
12,Chicago,,
13,Chicago(Racine),,
14,Cincinnati,,
15,Cleveland,,
16,Columbus,,
17,Dallas,,
18,Dayton,,
19,Decatur,,
20,Denver,,
21,Detroit,,
22,Duluth,,
23,Evansville,,
24,Frankford,,
25,Green Bay,,
26,Hammond,,
27,Hartford,,
28,Houston,,
29,Indianapolis,,
30,Jacksonville,,
31,Kansas City,,
32,Kenosha,,
33,Las Vegas,,
34,Los Angeles,,
35,Louisville,,
36,Memphis,,
37,Miami,,
38,Michigan,,
39,Milwaukee,,
40,Minneapolis,,
41,Minnesota,,
42,Muncie,,
43,Newark,,
44,New England,,
45,New Jersey,,
46,New Orleans,,
47,New York,,
48,Oakland,,
49,Oklahoma,,
50,Oorang,,
51,Orange,,
52,Orlando,,
53,Philadelphia,,
54,Phil-Pit,,
55,Phoenix,,
56,Pittsburgh,,
57,Portland,,
58,Portsmouth,,
59,Pottsville,,
60,Providence,,
61,Racine,,
62,Rochester,,
63,Rock Island,,
64,San Antonio,,
65,San Diego,,
66,San Francisco,,
67,Seattle,,
68,Staten Island,,
69,St. Louis,,
70,Tampa Bay,,
71,Tennessee,,
72,Toledo,,
73,Tonawanda,,
74,Washington,,
